Date,Open,High,Low,Close,Adj Close,Volume
2022-03-28,2.0,4.25,2.0,4.25,4.25,3200
2022-03-29,4.25,4.75,4.0,4.0,4.0,1720
2022-03-30,4.0,5.0,4.0,5.0,5.0,3100
2022-03-31,5.0,5.0,5.0,5.0,5.0,0
2022-04-01,5.0,5.0,5.0,5.0,5.0,0
2022-04-04,5.0,5.0,5.0,5.0,5.0,0
2022-04-05,5.25,5.25,5.25,5.25,5.25,200
2022-04-06,5.25,5.25,5.25,5.25,5.25,0
2022-04-07,5.5,5.5,5.5,5.5,5.5,182
2022-04-08,6.0,6.0,5.739999771118164,5.739999771118164,5.739999771118164,200
2022-04-11,5.739999771118164,5.739999771118164,5.739999771118164,5.739999771118164,5.739999771118164,0
2022-04-12,5.739999771118164,5.739999771118164,5.739999771118164,5.739999771118164,5.739999771118164,0
2022-04-13,5.739999771118164,5.739999771118164,5.739999771118164,5.739999771118164,5.739999771118164,0
2022-04-14,5.739999771118164,5.739999771118164,5.739999771118164,5.739999771118164,5.739999771118164,0
2022-04-18,5.0,5.0,5.0,5.0,5.0,288
2022-04-19,5.0,5.0,5.0,5.0,5.0,0
2022-04-20,5.0,5.0,5.0,5.0,5.0,0
2022-04-21,5.0,5.0,5.0,5.0,5.0,0
2022-04-22,5.0,5.0,5.0,5.0,5.0,0
2022-04-25,5.0,5.0,5.0,5.0,5.0,112
2022-04-26,5.0,5.0,5.0,5.0,5.0,0
2022-04-27,5.0,5.0,5.0,5.0,5.0,0
2022-04-28,5.0,5.0,5.0,5.0,5.0,0
2022-04-29,5.0,5.0,5.0,5.0,5.0,0
2022-05-02,5.0,5.0,5.0,5.0,5.0,0
2022-05-03,5.0,5.0,5.0,5.0,5.0,0
2022-05-04,5.0,5.0,5.0,5.0,5.0,0
2022-05-05,5.0,5.0,5.0,5.0,5.0,0
2022-05-06,5.0,5.0,5.0,5.0,5.0,0
2022-05-09,5.0,5.0,5.0,5.0,5.0,0
2022-05-10,5.0,5.0,5.0,5.0,5.0,0
2022-05-11,4.900000095367432,5.25,4.900000095367432,5.25,5.25,988
2022-05-12,5.999899864196777,6.5,5.999899864196777,6.0,6.0,1334
2022-05-13,6.0,6.0,6.0,6.0,6.0,0
2022-05-16,6.0,6.0,6.0,6.0,6.0,0
2022-05-17,6.25,6.25,6.25,6.25,6.25,1015
2022-05-18,6.25,6.25,6.25,6.25,6.25,0
2022-05-19,6.25,6.25,6.25,6.25,6.25,0
2022-05-20,6.25,6.25,6.25,6.25,6.25,0
2022-05-23,6.25,6.25,6.25,6.25,6.25,0
2022-05-24,6.25,6.25,6.25,6.25,6.25,0
2022-05-25,6.25,6.25,6.25,6.25,6.25,0
2022-05-26,6.25,6.25,6.25,6.25,6.25,0
2022-05-27,6.25,6.25,6.25,6.25,6.25,0
2022-05-31,6.25,6.25,6.25,6.25,6.25,0
2022-06-01,6.25,6.25,6.25,6.25,6.25,0
2022-06-02,6.25,6.25,6.25,6.25,6.25,0
2022-06-03,6.25,6.25,6.25,6.25,6.25,0
2022-06-06,6.25,6.25,6.25,6.25,6.25,0
2022-06-07,6.25,6.25,6.25,6.25,6.25,0
2022-06-08,6.25,6.25,6.25,6.25,6.25,0
2022-06-09,6.25,6.25,6.25,6.25,6.25,0
2022-06-10,6.25,6.25,6.25,6.25,6.25,0
2022-06-13,6.25,6.25,6.25,6.25,6.25,0
2022-06-14,6.25,6.25,6.25,6.25,6.25,0
2022-06-15,6.25,6.25,6.25,6.25,6.25,0
2022-06-16,6.25,6.25,6.25,6.25,6.25,0
2022-06-17,6.25,6.25,6.25,6.25,6.25,0
2022-06-21,6.25,6.25,6.25,6.25,6.25,0
2022-06-22,6.25,6.25,6.25,6.25,6.25,0
2022-06-23,6.25,6.25,6.25,6.25,6.25,0
2022-06-24,6.5,6.5,6.5,6.5,6.5,100
2022-06-27,6.25,6.25,4.0,4.0,4.0,1050
2022-06-28,4.0,4.0,4.0,4.0,4.0,0
2022-06-29,4.0,4.0,3.9700000286102295,3.9700000286102295,3.9700000286102295,600
2022-06-30,3.9700000286102295,3.9700000286102295,3.9700000286102295,3.9700000286102295,3.9700000286102295,0
2022-07-01,3.75,4.0,3.0,4.0,4.0,2675
2022-07-05,5.75,5.75,5.0,5.0,5.0,200
2022-07-06,5.0,5.0,5.0,5.0,5.0,0
2022-07-07,5.0,5.0,4.449999809265137,4.5,4.5,1668
2022-07-08,4.400000095367432,4.400000095367432,4.0,4.0,4.0,1212
2022-07-11,4.0,4.0,4.0,4.0,4.0,0
2022-07-12,4.0,4.0,4.0,4.0,4.0,0
2022-07-13,4.0,4.0,4.0,4.0,4.0,0
2022-07-14,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,1000
2022-07-15,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,0
2022-07-18,3.049999952316284,3.049999952316284,3.049999952316284,3.049999952316284,3.049999952316284,100
2022-07-19,3.049999952316284,3.049999952316284,3.049999952316284,3.049999952316284,3.049999952316284,100
2022-07-20,3.049999952316284,3.049999952316284,3.049999952316284,3.049999952316284,3.049999952316284,0
2022-07-21,2.799999952316284,2.799999952316284,2.5999999046325684,2.5999999046325684,2.5999999046325684,1600
2022-07-22,2.5999999046325684,2.5999999046325684,2.569999933242798,2.5999999046325684,2.5999999046325684,1300
2022-07-25,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,2.5999999046325684,0
2022-07-26,2.5,2.5,2.5,2.5,2.5,344
2022-07-27,2.5,2.5,2.5,2.5,2.5,0
2022-07-28,2.5,2.5,2.25,2.5,2.5,10300
2022-07-29,2.5,2.5,2.5,2.5,2.5,0
2022-08-01,2.2799999713897705,2.2799999713897705,2.2200000286102295,2.2200000286102295,2.2200000286102295,6400
2022-08-02,2.2200000286102295,2.2200000286102295,2.2200000286102295,2.2200000286102295,2.2200000286102295,0
2022-08-03,2.2200000286102295,2.2200000286102295,2.2200000286102295,2.2200000286102295,2.2200000286102295,0
2022-08-04,2.200000047683716,2.2249999046325684,2.1700000762939453,2.2200000286102295,2.2200000286102295,4700
2022-08-05,2.1500000953674316,2.450000047683716,2.1500000953674316,2.450000047683716,2.450000047683716,5330
2022-08-08,2.450000047683716,2.549999952316284,2.450000047683716,2.549999952316284,2.549999952316284,1504
2022-08-09,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,2.549999952316284,0
2022-08-10,2.5799999237060547,2.5799999237060547,2.5799999237060547,2.5799999237060547,2.5799999237060547,100
2022-08-11,2.5,2.5,2.5,2.5,2.5,700
